iter	MultiClass
0	1.043025064
1	0.9871659316
2	0.9452320588
3	0.905325224
4	0.8598742599
5	0.8157989521
6	0.776876475
7	0.7418423311
8	0.7122952957
9	0.6875428362
10	0.6559067821
11	0.6332379719
12	0.6054892086
13	0.5799065665
14	0.5573338468
15	0.534112015
16	0.5126541578
17	0.4969060036
18	0.4823933858
19	0.4666227853
20	0.4534733217
21	0.433931043
22	0.4177358931
23	0.4025698462
24	0.3913214499
25	0.3793558982
26	0.3672056004
27	0.3552965982
28	0.3460679886
29	0.3379889794
30	0.3282179783
31	0.3179822853
32	0.3105260858
33	0.2993914965
34	0.2920064354
35	0.2825922306
36	0.2758564834
37	0.2682128825
38	0.2613540687
39	0.2555192785
40	0.248913198
41	0.2435098948
42	0.2373722969
43	0.2317771296
44	0.2255722403
45	0.2192067913
46	0.2136181851
47	0.209699291
48	0.2051910983
49	0.2003321596
50	0.1963593324
51	0.1922134176
52	0.1876832285
53	0.1834663029
54	0.179269279
55	0.1755336218
56	0.1706782163
57	0.1677368972
58	0.1638237161
59	0.1597145136
60	0.1570647801
61	0.154151114
62	0.1514773782
63	0.1479612246
64	0.1454098104
65	0.1430836963
66	0.1408575756
67	0.1385386276
68	0.1364278377
69	0.1341011809
70	0.131491239
71	0.1297703552
72	0.127687191
73	0.1252928214
74	0.1232863541
75	0.1216834627
76	0.1190161365
77	0.1173394188
78	0.1159614468
79	0.1142960667
80	0.1125273277
81	0.1106061851
82	0.1082887398
83	0.1060583301
84	0.1041522271
85	0.1027914252
86	0.1014077521
87	0.09992324003
88	0.09792523077
89	0.09653796029
90	0.09505056543
91	0.09398686831
92	0.0925135493
93	0.09141163898
94	0.08997867506
95	0.088521012
96	0.08754646086
97	0.08659831323
98	0.08531102221
99	0.08402729283
100	0.08306022639
101	0.0818646398
102	0.08095721339
103	0.07978619638
104	0.07849935667
105	0.07757386933
106	0.07661874949
107	0.07542475249
108	0.07471631577
109	0.07386704991
110	0.07304260501
111	0.07210834538
112	0.07127232168
113	0.07018076128
114	0.06936493023
115	0.06837421345
116	0.06733763692
117	0.06665601835
118	0.06595237351
119	0.06503602537
120	0.06430835346
121	0.06357969502
122	0.06306797019
